NewsID,Title,Text,Label
1,Company announces quarterly results,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
2,Secret information government does not want you to know,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
3,Scientists publish research findings,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
4,Hidden truth finally exposed,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
5,New economic report released,Authorities said the public should follow the official guidance and rely on verified information.,Real
6,Experts say unbelievable miracle cure works,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
7,Local authorities issue public notice,The report contains information collected from public records and statements from relevant authorities.,Real
8,Hidden truth finally exposed,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
9,Scientists publish research findings,The report contains information collected from public records and statements from relevant authorities.,Real
10,Local authorities issue public notice,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
11,Local authorities issue public notice,Officials released the information through an official statement and provided details about the decision.,Real
12,Scientists publish research findings,The organization reported the results and said additional details would be provided in its regular update.,Real
13,New economic report released,Authorities said the public should follow the official guidance and rely on verified information.,Real
14,Amazing discovery changes everything,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
15,New economic report released,The organization reported the results and said additional details would be provided in its regular update.,Real
16,Local authorities issue public notice,Authorities said the public should follow the official guidance and rely on verified information.,Real
17,Company announces quarterly results,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
18,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
19,Experts say unbelievable miracle cure works,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
20,Secret information government does not want you to know,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
21,Experts say unbelievable miracle cure works,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
22,Amazing discovery changes everything,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
23,Health officials release advisory,The organization reported the results and said additional details would be provided in its regular update.,Real
24,New economic report released,The organization reported the results and said additional details would be provided in its regular update.,Real
25,Shocking secret revealed to the public,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
26,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
27,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
28,Government announces new policy,Officials released the information through an official statement and provided details about the decision.,Real
29,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
30,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
31,You will not believe what happened next,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
32,Experts say unbelievable miracle cure works,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
33,Shocking secret revealed to the public,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
34,Health officials release advisory,The organization reported the results and said additional details would be provided in its regular update.,Real
35,This unbelievable story is spreading rapidly,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
36,You will not believe what happened next,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
37,You will not believe what happened next,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
38,Viral claim sparks controversy online,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
39,Viral claim sparks controversy online,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
40,Company announces quarterly results,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
41,New education guidelines announced,Officials released the information through an official statement and provided details about the decision.,Real
42,Health officials release advisory,Authorities said the public should follow the official guidance and rely on verified information.,Real
43,Viral claim sparks controversy online,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
44,Secret information government does not want you to know,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
45,Viral claim sparks controversy online,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
46,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
47,Amazing discovery changes everything,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
48,Local authorities issue public notice,Authorities said the public should follow the official guidance and rely on verified information.,Real
49,Local authorities issue public notice,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
50,New education guidelines announced,Authorities said the public should follow the official guidance and rely on verified information.,Real
51,Weather department releases forecast,Officials released the information through an official statement and provided details about the decision.,Real
52,Scientists publish research findings,Officials released the information through an official statement and provided details about the decision.,Real
53,Shocking secret revealed to the public,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
54,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
55,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
56,Local authorities issue public notice,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
57,Health officials release advisory,Officials released the information through an official statement and provided details about the decision.,Real
58,Weather department releases forecast,Officials released the information through an official statement and provided details about the decision.,Real
59,Local authorities issue public notice,The report contains information collected from public records and statements from relevant authorities.,Real
60,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
61,You will not believe what happened next,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
62,Hidden truth finally exposed,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
63,Government announces new policy,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
64,Secret information government does not want you to know,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
65,Weather department releases forecast,Authorities said the public should follow the official guidance and rely on verified information.,Real
66,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
67,Weather department releases forecast,The organization reported the results and said additional details would be provided in its regular update.,Real
68,Amazing discovery changes everything,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
69,This unbelievable story is spreading rapidly,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
70,Scientists publish research findings,The organization reported the results and said additional details would be provided in its regular update.,Real
71,Hidden truth finally exposed,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
72,New economic report released,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
73,Hidden truth finally exposed,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
74,This unbelievable story is spreading rapidly,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
75,You will not believe what happened next,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
76,Experts say unbelievable miracle cure works,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
77,Local authorities issue public notice,The report contains information collected from public records and statements from relevant authorities.,Real
78,Hidden truth finally exposed,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
79,Government announces new policy,Authorities said the public should follow the official guidance and rely on verified information.,Real
80,This unbelievable story is spreading rapidly,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
81,Government announces new policy,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
82,This unbelievable story is spreading rapidly,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
83,Amazing discovery changes everything,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
84,You will not believe what happened next,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
85,Weather department releases forecast,Authorities said the public should follow the official guidance and rely on verified information.,Real
86,This unbelievable story is spreading rapidly,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
87,Secret information government does not want you to know,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
88,New economic report released,The report contains information collected from public records and statements from relevant authorities.,Real
89,This unbelievable story is spreading rapidly,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
90,Government announces new policy,Authorities said the public should follow the official guidance and rely on verified information.,Real
91,Company announces quarterly results,Authorities said the public should follow the official guidance and rely on verified information.,Real
92,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
93,Shocking secret revealed to the public,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
